Word, Count, IsPrime
the, 3344, False
and, 2390, False
to, 1525, False
a, 1155, False
said, 1141, False
of, 1055, False
it, 963, False
you, 888, False
was, 834, False
i, 756, False
in, 639, False
he, 611, False
that, 595, False
she, 586, False
had, 516, False
peter, 498, False
bobbie, 466, False
they, 464, False
on, 422, False
her, 408, False
as, 402, False
but, 394, False
mother, 388, False
all, 381, False
for, 373, True
not, 365, False
with, 357, False
his, 337, True
be, 328, False
at, 320, False
when, 310, False
were, 300, False
so, 293, True
phyllis, 279, False
we, 271, True
up, 251, True
then, 245, False
him, 242, False
what, 241, True
if, 236, False
is, 234, False
them, 223, True
like, 223, True
very, 220, False
dont, 214, False
out, 211, True
its, 210, False
there, 209, False
do, 209, False
have, 199, True
know, 180, False
down, 177, False
little, 173, True
now, 170, False
did, 169, False
by, 163, True
one, 160, False
this, 158, False
children, 156, False
about, 153, False
me, 153, False
no, 151, True
oh, 148, False
from, 143, False
would, 140, False
see, 138, False
well, 137, True
your, 137, True
my, 135, False
think, 135, False
could, 135, False
went, 135, False
been, 133, False
go, 132, False
just, 130, False
got, 130, False
their, 126, False
more, 124, False
come, 120, False
are, 120, False
say, 119, False
old, 118, False
perks, 114, False
or, 114, False
station, 113, True
who, 112, False
things, 108, False
came, 107, True
get, 106, False
never, 105, False
how, 105, False
three, 103, True
quite, 101, True
only, 100, False
time, 99, False
into, 99, False
good, 98, False
an, 97, True
much, 96, False
train, 93, False
right, 91, False
us, 91, False
im, 90, False
tell, 90, False
thought, 89, True
any, 86, False
ill, 86, False
some, 85, False
than, 84, False
gentleman, 82, False
back, 81, False
yes, 81, False
over, 80, False
made, 79, True
asked, 79, True
again, 79, True
other, 78, False
will, 78, False
too, 76, False
going, 76, False
anything, 75, False
father, 74, False
day, 74, False
because, 74, False
put, 72, False
always, 71, True
away, 71, True
before, 71, True
here, 70, False
thats, 69, False
where, 69, False
man, 69, False
long, 68, False
red, 67, True
people, 67, True
look, 67, True
something, 65, False
youre, 63, False
course, 62, False
can, 62, False
two, 62, False
didnt, 61, True
told, 61, True
home, 60, False
which, 60, False
off, 60, False
, 60, False
roberta, 59, True
take, 59, True
door, 58, False
master, 58, False
wont, 57, False
dear, 56, False
even, 56, False
along, 56, False
round, 56, False
felt, 55, False
want, 55, False
make, 55, False
why, 55, False
looked, 55, False
railway, 53, True
way, 53, True
cant, 53, True
line, 52, False
ever, 51, False
mothers, 51, False
cried, 51, False
first, 51, False
doctor, 51, False
knew, 51, False
engine, 50, False
seemed, 50, False
mrs, 50, False
let, 50, False
might, 49, False
after, 49, False
tea, 49, False
others, 49, False
though, 49, False
must, 49, False
lets, 49, False
hand, 49, False
hands, 49, False
rather, 48, False
most, 48, False
hes, 48, False
really, 48, False
ive, 47, True
tunnel, 47, True
suddenly, 46, False
poor, 46, False
being, 46, False
should, 46, False
great, 45, False
done, 45, False
face, 45, False
once, 45, False
give, 45, False
enough, 45, False
nice, 45, False
peters, 44, False
our, 44, False
wouldnt, 44, False
saw, 44, False
own, 43, True
thing, 43, True
room, 43, True
kind, 42, False
took, 42, False
mean, 42, False
wasnt, 42, False
eyes, 41, True
voice, 41, True
till, 40, False
last, 40, False
found, 40, False
nothing, 39, False
still, 39, False
boy, 38, False
ask, 38, False
shall, 38, False
love, 38, False
herself, 38, False
heard, 38, False
theres, 38, False
end, 37, True
such, 37, True
morning, 37, True
same, 37, True
used, 36, False
house, 36, False
better, 36, False
keep, 36, False
through, 36, False
each, 36, False
stop, 36, False
says, 36, False
white, 35, False
phil, 34, False
birthday, 34, False
russian, 34, False
hurt, 33, False
garden, 33, False
perhaps, 33, False
next, 32, False
am, 32, False
isnt, 32, False
stood, 32, False
read, 31, True
sure, 31, True
has, 31, True
words, 31, True
girls, 31, True
green, 31, True
dark, 31, True
head, 31, True
stopped, 31, True
under, 31, True
coal, 31, True
name, 31, True
jim, 31, True
everyone, 30, False
youll, 30, False
sorry, 30, False
mind, 30, False
canal, 30, False
everything, 29, True
couldnt, 29, True
ought, 29, True
turned, 29, True
soon, 29, True
night, 29, True
without, 29, True
find, 29, True
run, 29, True
wish, 28, False
fire, 28, False
shes, 28, False
gone, 28, False
writing, 28, False
mr, 28, False
water, 27, False
life, 27, False
broken, 27, False
big, 27, False
trees, 27, False
seen, 27, False
bridge, 27, False
every, 26, False
else, 26, False
left, 26, False
youd, 26, False
whats, 26, False
feel, 26, False
place, 26, False
many, 26, False
porter, 26, False
gave, 26, False
help, 25, False
indeed, 25, False
may, 25, False
lay, 25, False
table, 25, False
side, 25, False
paper, 25, False
chimneys, 25, False
bed, 24, False
began, 24, False
hope, 24, False
daddy, 24, False
wanted, 24, False
tried, 24, False
theyre, 24, False
against, 24, False
silly, 24, False
ran, 24, False
across, 24, False
woman, 24, False
open, 24, False
letter, 24, False
id, 24, False
called, 23, True
meant, 23, True
almost, 23, True
these, 23, True
another, 23, True
bit, 23, True
anyone, 23, True
caught, 23, True
talk, 23, True
black, 23, True
believe, 23, True
slowly, 23, True
arm, 23, True
top, 23, True
doing, 23, True
suppose, 22, False
hot, 22, False
french, 22, False
new, 22, False
live, 22, False
among, 22, False
days, 22, False
boys, 22, False
sat, 22, False
coming, 22, False
those, 22, False
seem, 22, False
between, 22, False
glad, 22, False
road, 22, False
hadnt, 22, False
leg, 22, False
held, 21, False
fathers, 21, False
everybody, 21, False
try, 21, False
feeling, 21, False
viney, 21, False
flowers, 21, False
wrong, 21, False
thank, 21, False
aint, 21, False
behind, 20, False
front, 20, False
cold, 20, False
hear, 20, False
arent, 20, False
set, 20, False
candle, 20, False
kitchen, 20, False
far, 20, False
half, 20, False
speak, 20, False
bill, 20, False
baby, 20, False
ready, 19, True
while, 19, True
clothes, 19, True
exactly, 19, True
story, 19, True
mouth, 19, True
miss, 19, True
bobbies, 19, True
looking, 19, True
happened, 19, True
happen, 19, True
opened, 19, True
spoke, 19, True
sound, 19, True
yet, 19, True
please, 19, True
except, 18, False
also, 18, False
friends, 18, False
given, 18, False
does, 18, False
shut, 18, False
tired, 18, False
idea, 18, False
ones, 18, False
whispered, 18, False
hill, 18, False
youve, 18, False
waved, 18, False
roses, 18, False
brought, 17, True
pretty, 17, True
full, 17, True
stay, 17, True
milk, 17, True
heart, 17, True
sorts, 17, True
making, 17, True
bank, 17, True
doesnt, 17, True
sent, 17, True
fell, 17, True
weve, 17, True
wonder, 17, True
light, 17, True
hard, 17, True
comes, 17, True
trains, 17, True
awfully, 17, True
cut, 17, True
coals, 17, True
alone, 17, True
jolly, 17, True
sometimes, 17, True
foot, 17, True
wife, 17, True
write, 16, False
different, 16, False
real, 16, False
late, 16, False
